Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD1013;452,3893421;244,1;PNX;100;47,2906;0,38448;0,3227;25,0398;14,399;7,7522;8,5044;9,7717;14,1162;18,2419;19,192;24,0989;456;142;11;0;1,8893;0,2605;74,87685;0,56375;5,857;4,1257;4,3445;4,6467;100;8,4702;100;56,5789;609;609
AD1014;452,3893421;215,8;PNX;100;44,6894;0,4349;0,3487;22,3687;12,6247;5,1257;6,7348;9,5194;11,5017;16,1564;17,1454;21,1619;382;108;9;0;2,0221;0,2635;76,55311;0,51419;5,0055;4,6547;1,9823;4,4022;100;6,637;100;54,1885;499;499
AD1019;452,3893421;242,8;PNX;100;53,2872;0,41722;0,3278;21,1379;12,458;6,2439;7,218;8,2472;12,8756;15,8313;16,4008;20,2915;434;131;13;0;1,6414;0,0535;75,08651;0,60912;4,4602;2,9557;4,6284;4,0841;100;7,5841;100;68,894;578;578
AD1020;1256,637061;78,9;PNM;100;37,3796;0,28821;0,3398;17,1765;8,9861;5,6697;6,324;6,4983;7,5115;11,7148;12,3757;16,6772;437;74;8;0;2,374;0,8789;84,20039;0,43731;4,9624;4,2033;1,0132;3,0537;100;5,2166;100;40,2746;519;519
AD1021;1017,87602;145,4;PNX;100;49,3392;0,40099;0,3984;19,6798;10,6481;4,6022;5,498;6,7264;10,5084;14,2273;14,9602;18,98;354;91;9;0;1,7412;0,241;77,97357;0,53397;4,7527;3,7189;3,782;4,2422;100;7,5009;100;61,2994;454;454
AD1022;452,3893421;203,2;PNM;100;44,0647;0,31671;0,3253;22,7948;12,0918;7,1309;7,8195;8,5251;10,8106;15,3181;15,7974;21,7941;441;113;2;0;2,2018;0,5755;79,31655;0,47426;6,476;4,5075;2,2855;3,9336;100;6,793;100;52,6077;556;556
AD1023;452,3893421;151,0;BMF;100;36,8336;0,3277;0,2564;18,1987;10,9608;7,4329;8,178;8,7388;9,8767;13,0531;13,8576;17,759;502;116;1;0;2,4851;0,8631;81,09855;0,54271;4,7059;3,1764;1,1379;2,8107;100;4,3143;100;44,4223;619;619
AD1031;452,3893421;149,3;PNX;100;51,5152;0,38298;0,2496;26,5219;16,4882;10,2604;11,457;12,3009;16,8085;19,9496;20,7857;24,4984;387;130;11;0;1,6624;0,1443;73,29545;0,63376;4,5488;3,1411;4,5076;4,1148;100;7,6487;100;66,6667;528;528
AD1032;452,3893421;469,3;PNX;100;55,3501;0,41728;0,5071;19,6929;9,8948;2,8784;3,1677;3,3745;10,6313;14,2;14,9856;18,4096;553;181;23;0;1,6075;-0,1603;73,05152;0,53985;4,2096;3,5687;7,2568;5,0176;100;10,8254;100;73,2369;757;757
AD1033;530,9291585;185,1;PNX;100;42,8295;0,27642;0,5538;19,6987;8,0154;3,5522;3,9188;4,2307;5,4525;11,6151;12,4795;18,9574;393;111;12;0;2,25;0,7384;76,16279;0,27679;7,3423;6,1626;1,2218;4,4386;100;7,3845;100;50,8906;516;516
AD1034;530,9291585;398,2;AVE;100;58,5227;0,4554;0,3998;22,1803;12,4423;4,2993;5,199;6,4033;13,9091;16,417;17,0795;21,3856;408;109;11;0;1,7607;-0,2879;77,27273;0,62709;4,9686;2,5079;7,5058;4,9747;100;10,0138;100;71,0784;528;528
AD1043;452,3893421;229,4;PNX;100;54,6233;0,57184;0,3008;24,2279;15,0135;2,7072;7,7993;12,4787;15,5578;18,4362;19,1093;22,6958;442;139;3;0;2,6622;-0,5047;75,68493;0,64214;4,2596;2,8784;3,0791;4,5161;100;5,9575;100;63,5747;584;584
AD1044;804,2477193;198,5;PNX;100;45,7031;0,33817;0,3946;25,064;13,5944;7,734;8,238;8,4615;11,9498;18,8256;19,6209;24,2893;392;110;10;0;1,6491;0,4293;76,5625;0,47677;5,4637;6,8758;3,4883;5,3641;100;10,3641;100;52,8061;512;512
AD1052;452,3893421;142,3;PNX;100;48,9496;0,35339;0,3047;20,7805;11,8445;6,9607;7,7111;8,3685;11,5829;14,8285;15,6381;19,486;386;82;8;0;1,8159;0,3605;81,09244;0,55739;4,6575;3,2456;3,2144;3,6095;100;6,46;100;57,772;476;476
AD1053;452,3893421;168,2;PNM;100;42,2088;0,34416;0,4782;22,7202;11,9616;6,3158;6,7405;7,0063;7,7813;18,2507;18,7712;22,0851;509;144;8;0;1,3943;0,4521;77,00454;0,34248;3,8344;10,4694;0,775;5,7203;100;11,2444;100;51,8664;661;661
AD1054;452,3893421;318,4;PNM;100;57,6565;0,48209;0,3492;25,4451;15,2594;5,7783;7,6409;9,4194;16,2769;19,4567;20,1067;24,4597;549;189;13;0;1,745;-0,201;73,10253;0,63969;5,003;3,1798;6,8575;5,3281;100;10,0372;100;72,1311;751;751
AD1055;530,9291585;275,8;PNM;100;52,8053;0,35639;0,5789;17,9744;7,9814;2,4478;2,7137;3,0849;8,4281;12,1841;12,8586;16,2278;423;169;14;0;1,5044;0,1469;69,80198;0,46889;4,0437;3,756;5,3432;4,6204;100;9,0992;100;72,104;606;606
