"","row","center.X","center.Y","TR","Elev.minim","Elev.maxim","Elev.mean","Elev.mode","Elev.stdde","Elev.varia","CV","IQ","Elev.skewn","Elev.kurto","Elev.AAD","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.ske","Elev.L.kur","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Return.1.c","Return.2.c","Return.3.c","Return.4.c","Percentage","Percenta_1","X.All.retur","First.retu","All.return","Percenta_2","Percenta_3","Percenta_4","Percenta_5","X.All.ret_1","X.All.ret_2","First.re_1","First.re_2","All.retu_1","All.retu_2","Total.firs","Canopy.rel","Elev.quadr","Elev.cubic","Profile.ar","Habitat"
"1",118,532840,27360,454,3.0154,19.6343,9.365,9.874,3.2257,10.405,0.3444,4.5615,0.0484,2.4546,2.6193,9.365,1.8407,-0.0082,0.1665,0.1965,-0.0045,0.0905,3.2448,4.1137,4.663,6.3427,7.0256,7.4968,8.8019,9.663,10.2029,10.9085,11.5871,12.0863,13.6012,14.5519,16.381,404,50,0,0,83.1276,72.9904,93.4156,404,454,47.9424,41.1523,39.3891,33.7621,50.4115,43.2099,233,200,245,210,486,0.3821,9.9038,10.3684,43.2539,"RMR"
"2",118,532860,27360,443,3.0012,22.5861,11.0028,12.0165,4.3703,19.0996,0.3972,6.2513,-0.1309,2.2728,3.585,11.0028,2.4956,-0.1127,0.1791,0.2268,-0.0451,0.0718,3.1337,3.575,4.3094,6.4971,7.9963,8.6922,10.394,11.5045,12.3216,13.6432,14.2476,14.7728,16.3927,17.6464,19.8471,374,65,4,0,81.3043,69.7638,96.3043,374,443,49.5652,40.2174,38.7402,31.1811,53.4783,43.0435,228,185,246,198,460,0.4086,11.8372,12.4936,39.6955,"RMR"
"3",118,532880,27360,573,3.0264,22.6099,12.5573,12.9735,4.7472,22.536,0.378,7.6174,-0.1915,2.0739,3.9922,12.5573,2.7275,-0.1445,0.1255,0.2172,-0.053,0.046,3.2917,4.4183,5.6216,7.9753,8.8008,9.4821,11.6317,13.1251,14.0981,15.8517,16.4182,16.9506,18.6665,19.711,21.2873,409,140,24,0,89.693,79.5833,125.6579,409,573,58.9912,57.2368,43.1944,41.25,68.2018,65.1316,269,261,311,297,456,0.4867,13.4232,14.1066,46.7815,"RMR"
"4",117,532840,27340,428,3.0636,23.8036,11.4197,11.9522,4.838,23.4067,0.4237,7.5879,0.1511,2.216,4.0303,11.4197,2.7778,0.0776,0.1527,0.2432,0.0279,0.055,3.1603,3.9095,4.8562,6.5514,7.5679,8.5294,9.971,11.549,12.5966,14.4364,15.1558,16.0754,17.8479,18.8522,22.1531,359,68,1,0,75.4202,65.4434,89.916,359,428,42.0168,39.2857,33.1804,30.4281,45.5882,41.8067,200,187,217,199,476,0.4029,12.4001,13.2122,33.8175,"RMR"
"5",117,532860,27340,441,3.0151,27.646,14.3018,3.4061,7.6165,58.0108,0.5326,14.2432,0.0951,1.6115,6.7786,14.3018,4.3842,0.1391,-0.1975,0.3065,0.0317,-0.045,3.1074,3.6541,4.4445,5.6785,7.1096,8.5188,11.1628,13.3414,17.1531,20.2969,21.3528,22.6844,24.5944,25.8944,27.2283,334,99,7,1,70.021,61.4206,92.4528,334,441,38.3648,68.1342,29.1086,60.0279,43.8155,90.3564,183,325,209,431,477,0.4582,16.1994,17.5987,32.072,"RMR"
"6",117,532960,27340,1343,3.0143,22.8323,16.9476,18.7428,4.6616,21.7307,0.2751,3.8325,-1.5435,4.9279,3.3285,16.9476,2.3625,-0.7099,0.5275,0.1394,-0.3005,0.2233,3.1504,4.6582,10.1516,15.1853,15.8839,16.4592,17.379,18.1401,18.8229,19.3939,19.7164,20.1939,21.4508,22.2285,22.7605,1254,87,2,0,82.9365,75.7046,88.8228,1254,1343,56.6799,36.4418,48.8726,31.1161,57.3413,36.5079,857,551,867,552,1512,0.7031,17.5766,17.983,56.02,"RMR"
"7",117,532980,27340,693,3.0217,21.9102,13.497,16.2136,5.279,27.8677,0.3911,7.7163,-0.6316,2.178,4.4886,13.497,2.9468,-0.5325,0.1382,0.2183,-0.1807,0.0469,3.1387,3.6785,4.3817,8.1131,9.8271,10.8007,13.6396,15.3683,16.2239,16.9259,17.5435,17.8467,19.2048,20.3647,21.1563,601,89,3,0,51.062,49.2188,58.8785,601,693,34.1546,23.3645,29.6165,19.8864,35.4291,23.7893,402,275,417,280,1177,0.5546,14.4912,15.1724,31.3989,"RMR"
"8",116,532860,27320,460,3.1328,29.0944,19.9596,24.9735,6.4697,41.8571,0.3241,8.4977,-0.8493,2.7519,5.2522,19.9596,3.5686,-0.7749,0.3165,0.1788,-0.2172,0.0887,4.1513,6.9501,9.1782,14.8535,16.4308,17.7704,20.1351,21.6851,23.1595,24.22,24.9285,25.4207,27.037,27.7681,28.4975,371,84,5,0,76.4948,54.3093,94.8454,371,460,52.1649,23.7113,32.9398,13.5773,57.5258,23.7113,253,115,279,115,485,0.6481,20.9798,21.7033,37.5438,"RMR"
"9",116,532880,27320,668,3.1331,28.7799,15.5165,11.2749,7.0977,50.3767,0.4574,12.7218,0.191,1.7279,6.2341,15.5165,4.0721,0.2308,-0.0568,0.2624,0.0567,-0.014,3.7482,5.155,6.7119,8.8095,9.8097,10.5414,12.0576,13.9797,16.9754,20.9552,22.5315,23.7654,25.5053,26.5686,27.5168,448,197,23,0,91.0569,80.3851,135.7724,448,668,53.0488,69.9187,35.3791,52.4669,59.7561,88.6179,261,344,294,436,492,0.4828,17.0606,18.3169,44.6857,"RMR"
"10",116,532920,27320,1012,3.0466,27.2667,11.7618,8.4289,5.7915,33.5418,0.4924,8.5792,0.7609,2.5383,4.7705,11.7618,3.2105,0.6474,0.2536,0.273,0.2017,0.079,3.6171,4.5079,5.5705,6.6545,7.5165,8.0798,8.8848,10.0419,11.3598,13.7503,16.0956,17.3362,21.6019,22.8601,25.5967,739,248,24,1,62.1008,57.0784,85.042,739,1012,29.4118,47.479,21.8274,38.5787,32.521,57.479,350,565,387,684,1190,0.3598,13.1091,14.3535,26.4315,"RMR"
